No.;Time     ;;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;;;;
1;0.000000;;192.168.1.16;104.42.50.130;TLSv1.2;373;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000000;0.000378;#VALUE!;;12095;389;-11706;;;;;
2;0.000378;;192.168.1.16;104.42.50.130;TLSv1.2;336;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000378;0.191228;#VALUE!;;389;1159055;1158666;;;;;
3;0.191228;;104.42.50.130;192.168.1.16;TCP;54;443  >  65090 [ACK] Seq=1 Ack=602 Win=7 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.191228;0.818868;#VALUE!;;1159055;0;-1159055;;;;;
4;0.818868;;fe80::7962:bd7e:4086:296;fe80::1;DNS;95;Standard query 0xd6c7 A api.appexnw.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.818868;0.833734;#VALUE!;;0;3161073;3161073;;;;;
5;0.833734;;fe80::1;fe80::7962:bd7e:4086:296;DNS;445;Standard query response 0xd6c7 A api.appexnw.com A 104.16.236.42 A 104.16.235.42 NS nash.ns.cloudflare.com NS rihana.ns.cloudflare.com A 172.64.32.244 A 173.245.58.244 A 108.162.192.244 A 108.162.193.209 A 172.64.33.209 A 173.245.59.209 AAAA 2803:f800:50::6ca2:c0f4 AAAA 2a06:98c1:50::ac40:20f4 AAAA 2606:4700:50::adf5:3af4 AAAA 2a06:98c1:50::ac40:21d1 AAAA 2606:4700:58::adf5:3bd1 AAAA 2803:f800:50::6ca2:c1d1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.833734;0.985407;#VALUE!;;3161073;1214;-3159859;;;;;
6;0.985407;;zte_97:b2:1e;IntelCor_4e:37:0c;ARP;42;Who has 192.168.1.16? Tell 192.168.1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.985407;0.985531;#VALUE!;;1214;52695;51481;;;;;
7;0.985531;;IntelCor_4e:37:0c;zte_97:b2:1e;ARP;42;192.168.1.16 is at f8:94:c2:4e:37:0c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.985531;1.450.528;#VALUE!;;52695;611;-52084;;;;;
8;1.450.528;1;192.168.1.16;104.16.236.42;TCP;66;57552  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.450.528;1.462.623;12095;;611;7297518;7296907;;;;;
9;1.462.623;1;104.16.236.42;192.168.1.16;TCP;66;443  >  57552 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.462.623;1.463.012;389;;7297518;14110;-7283408;;;;;
10;1.463.012;1;192.168.1.16;104.16.236.42;TCP;54;57552  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.463.012;2.622.067;1159055;;14110;9481;-4629;;;;;
11;2.622.067;3;192.168.1.3;224.0.0.251;MDNS;287;Standard query response 0x0000 PTR, cache flush Android.local PTR, cache flush Android.local A, cache flush 192.168.1.3 AAAA, cache flush fe80::7e03:abff:fec7:f1cd NSEC, cache flush 3.1.168.192.in-addr.arpa NSEC, cache flush D.C.1.F.7.C.E.F.F.F.B.A.3.0.E.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.622.067;2.622.067;0;;9481;22918;13437;;;;;
12;2.622.067;3;fe80::7e03:abff:fec7:f1cd;ff02::fb;MDNS;307;Standard query response 0x0000 PTR, cache flush Android.local PTR, cache flush Android.local A, cache flush 192.168.1.3 AAAA, cache flush fe80::7e03:abff:fec7:f1cd NSEC, cache flush 3.1.168.192.in-addr.arpa NSEC, cache flush D.C.1.F.7.C.E.F.F.F.B.A.3.0.E.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.622.067;5.783.140;3161073;;22918;423;-22495;;;;;
13;5.783.140;6;fe80::7962:bd7e:4086:296;fe80::1;ICMPv6;86;Neighbor Solicitation for fe80::1 from f8:94:c2:4e:37:0c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.783.140;5.784.354;1214;;423;6080;5657;;;;;
14;5.784.354;6;fe80::1;fe80::7962:bd7e:4086:296;ICMPv6;78;Neighbor Advertisement fe80::1 (rtr, sol);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.784.354;5.837.049;52695;;6080;23311;17231;;;;;
15;5.837.049;6;fe80::1;fe80::7962:bd7e:4086:296;ICMPv6;86;Neighbor Solicitation for fe80::7962:bd7e:4086:296 from c8:5a:9f:97:b2:1e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.837.049;5.837.660;611;;23311;1889;-21422;;;;;
16;5.837.660;6;fe80::7962:bd7e:4086:296;fe80::1;ICMPv6;86;Neighbor Advertisement fe80::7962:bd7e:4086:296 (sol, ovr) is at f8:94:c2:4e:37:0c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.837.660;13.135.178;7297518;;1889;0;-1889;;;;;
17;13.135.178;13;fe80::7962:bd7e:4086:296;fe80::1;DNS;92;Standard query 0xa7d9 A www.bing.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.135.178;13.149.288;14110;;0;0;0;;;;;
18;13.149.288;13;fe80::1;fe80::7962:bd7e:4086:296;DNS;281;Standard query response 0xa7d9 A www.bing.com CNAME a-0001.a-afdentry.net.trafficmanager.net CNAME dual-a-0001.a-msedge.net A 13.107.21.200 A 204.79.197.200 NS ns2.a-msedge.net NS ns1.a-msedge.net A 204.79.197.1 A 204.79.197.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.149.288;13.158.769;9481;;0;754;754;;;;;
19;13.158.769;13;192.168.1.16;13.107.21.200;TCP;66;57553  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.158.769;13.181.687;22918;;754;230;-524;;;;;
